iso3c,year,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components
AGO,2004,0.0707070707070707,4.673825519962001,0.5020623371104155,0.012987012987012988,0.09478615618329946,0.2857142857142857,0.0703030303030303,0.5013412698412696,1
ARE,2004,0.050505050505050504,2.014327605734779,0.01796033333192031,0,0.098113619365081,0.8,0.0703030303030303,0.5013412698412696,1
ARG,2004,0.0707070707070707,3.1500785685289205,0.012411400775982493,0.36178107606679033,0.13326495708710126,0.4285714285714286,0.0703030303030303,0.5013412698412696,1
AUS,2004,0.1111111111111111,5.272718966414305,1.040791230288355e-4,0.08658008658008658,0.09321842907457342,0.41818181818181815,0.0703030303030303,0.5013412698412696,1
AUT,2004,0.050505050505050504,2.161526590934175,8.199645345252125e-5,0.015873015873015872,0.08936417775393594,0.6,0.0703030303030303,0.5013412698412696,1
AZE,2004,0.050505050505050504,2.080548454531823,2.350004789394697e-4,0,0.08700660763621255,0.8,0.0703030303030303,0.5013412698412696,1
BEL,2004,0.09090909090909091,3.894307387225325,5.161503774880078e-5,0.01422387136672851,0.08338478149168586,0.3333333333333333,0.0703030303030303,0.5013412698412696,1
BGD,2004,0.050505050505050504,3.6460537442950556,0.18661088424128958,0,0.0836203878231399,0.8,0.0703030303030303,0.5013412698412696,1
BGR,2004,0.09090909090909091,4.069349899897379,0.0025056314960033863,0.11564625850340136,0.12155106626832324,0.3055555555555556,0.0703030303030303,0.5013412698412696,1
BOL,2004,0.08080808080808081,5.499065371408956,0.7897907034603585,0.025149453720882294,0.10140066525419143,0.5357142857142857,0.0703030303030303,0.5013412698412696,1
BRA,2004,0.0707070707070707,3.364005704658097,0.11874752400551417,0.3555967841682127,0.13851313856798242,0.4761904761904762,0.0703030303030303,0.5013412698412696,1
BWA,2004,0.050505050505050504,2.9811245779898576,0.3111141883364313,0.047619047619047616,0.11982106523548451,0.4,0.0703030303030303,0.5013412698412696,1
CAN,2004,0.06060606060606061,2.994366623033311,4.342147850227962e-5,0.01463615749330035,0.08265785768921945,0.7333333333333333,0.0703030303030303,0.5013412698412696,1
CHE,2004,0.08080808080808081,3.086507012423523,1.7586495544636254e-5,0.0035044320758606472,0.07121825335137082,0.39285714285714285,0.0703030303030303,0.5013412698412696,1
CHL,2004,0.08080808080808081,3.865685257156235,0.18825051743689114,0.0022675736961451248,0.13167887456538704,0.5,0.0703030303030303,0.5013412698412696,1
CHN,2004,0.0707070707070707,4.566145147942264,0.5845613857872496,0.01030715316429602,0.11897492624119209,0.38095238095238093,0.0703030303030303,0.5013412698412696,1
CMR,2004,0.050505050505050504,3.2737772614351126,0.4307280072716332,0.0018552875695732839,0.10274102037841013,0.4,0.0703030303030303,0.5013412698412696,1
COL,2004,0.10101010101010101,5.974168528194899,0.43135246044893116,0.017728303442589157,0.12903752562257742,0.4222222222222222,0.0703030303030303,0.5013412698412696,1
CRI,2004,0.08080808080808081,4.156266747067399,0.2179955296168728,0.0035044320758606472,0.1336649613616825,0.6428571428571429,0.0703030303030303,0.5013412698412696,1
CYP,2004,0.0707070707070707,2.7725337471008995,0.11156320011224366,0.09400123685837972,0.12977855061263052,0.38095238095238093,0.0703030303030303,0.5013412698412696,1
CZE,2004,0.0707070707070707,3.133891890220895,4.67591796872608e-4,0.011131725417439703,0.10074451040427007,0.4761904761904762,0.0703030303030303,0.5013412698412696,1
DEU,2004,0.06060606060606061,2.5317711048841467,3.597621895806956e-5,0.0024737167594310453,0.08077801989461883,0.5333333333333333,0.0703030303030303,0.5013412698412696,1
DNK,2004,0.1111111111111111,4.731721474671109,4.142657561916774e-5,0.017522160379303237,0.08088770791267974,0.43636363636363634,0.0703030303030303,0.5013412698412696,1
DOM,2004,0.1111111111111111,6.922677257152971,0.7832208701278723,0.055040197897340756,0.1216473400247506,0.2909090909090909,0.0703030303030303,0.5013412698412696,1
DZA,2004,0.08080808080808081,4.587223575641952,0.4628996993949352,0.026592455163883734,0.10835266317096429,0.35714285714285715,0.0703030303030303,0.5013412698412696,1
ECU,2004,0.09090909090909091,5.650814973129428,0.4558794650731123,0.2049062049062049,0.13078787701969924,0.3611111111111111,0.0703030303030303,0.5013412698412696,1
EGY,2004,0.10101010101010101,6.212944221488399,0.6860381110524099,0.18820861678004536,0.12650833121785102,0.3111111111111111,0.0703030303030303,0.5013412698412696,1
ESP,2004,0.050505050505050504,2.407605588898806,9.865962597611785e-4,0.0035044320758606472,0.10506170540966499,0.6,0.0703030303030303,0.5013412698412696,1
EST,2004,0.06060606060606061,2.7932810216511292,0.0014708023789176017,0.00948258091115234,0.11282750942342044,0.7333333333333333,0.0703030303030303,0.5013412698412696,1
ETH,2004,0.050505050505050504,3.761243278636167,0.6226826801216785,0,0.0926282341241189,0.8,0.0703030303030303,0.5013412698412696,1
FIN,2004,0.0707070707070707,2.8344987183552766,3.058992799015169e-5,0.0020614306328592042,0.07763649746076594,0.4285714285714286,0.0703030303030303,0.5013412698412696,1
FRA,2004,0.050505050505050504,2.2941406897560253,1.3525389194617276e-4,0.037311894454751596,0.09347064891952907,0.5,0.0703030303030303,0.5013412698412696,1
GBR,2004,0.08080808080808081,4.256468629292777,1.0006697689456367e-4,0.0484436198721913,0.09292912409130247,0.5714285714285714,0.0703030303030303,0.5013412698412696,1
GEO,2004,0.050505050505050504,2.140588959620361,0.00267100634517865,0,0.10972117331169824,0.7,0.0703030303030303,0.5013412698412696,1
GHA,2004,0.050505050505050504,3.770521469948978,0.19574997992822166,4.1228612657184083e-4,0.08431593147010782,0.8,0.0703030303030303,0.5013412698412696,1
GRC,2004,0.050505050505050504,2.048517955199197,9.84159341499232e-4,0,0.09751965409306641,0.6,0.0703030303030303,0.5013412698412696,1
GTM,2004,0.06060606060606061,3.672681638795577,0.31759146601125976,0.02061430632859204,0.1179243277045848,0.4666666666666667,0.0703030303030303,0.5013412698412696,1
HRV,2004,0.1111111111111111,5.2225881235825495,0.0030718862831451226,0.2611832611832612,0.12624817850300105,0.2727272727272727,0.0703030303030303,0.5013412698412696,1
HUN,2004,0.0707070707070707,3.348439168185285,6.11638243488045e-4,0.061224489795918366,0.10800651693185769,0.38095238095238093,0.0703030303030303,0.5013412698412696,1
IDN,2004,0.050505050505050504,3.784081999205356,0.19377603451966485,4.1228612657184083e-4,0.08389482933878997,0.8,0.0703030303030303,0.5013412698412696,1
IND,2004,0.08080808080808081,5.350995159111361,0.6442231695585523,0.006184291898577613,0.10927299805296618,0.42857142857142855,0.0703030303030303,0.5013412698412696,1
IRL,2004,0.06060606060606061,2.1353101838335724,9.44282116344957e-5,0.02040816326530612,0.09028151027593621,0.26666666666666666,0.0703030303030303,0.5013412698412696,1
IRN,2004,0.09090909090909091,5.942405449881658,0.5906254287991469,0.024737167594310452,0.12487466027196106,0.4444444444444444,0.0703030303030303,0.5013412698412696,1
IRQ,2004,0.08080808080808081,5.251552423210866,0.6531316911836603,0.0282415996701711,0.10997940500911225,0.5,0.0703030303030303,0.5013412698412696,1
ISL,2004,0.050505050505050504,2.0744421355650564,1.6687962214398272e-5,0,0.07497957999702015,0.8,0.0703030303030303,0.5013412698412696,1
ISR,2004,0.09090909090909091,4.063390042721854,0.0033270480592103554,0.039579468150896725,0.11730717718841674,0.4722222222222222,0.0703030303030303,0.5013412698412696,1
ITA,2004,0.050505050505050504,2.4439936547393417,8.498899211741275e-4,0.0030921459492888066,0.10241269289001893,0.6,0.0703030303030303,0.5013412698412696,1
JOR,2004,0.08080808080808081,3.5981424123694032,0.11908433317009752,0.027623170480313337,0.12834771983110205,0.39285714285714285,0.0703030303030303,0.5013412698412696,1
JPN,2004,0.050505050505050504,1.2651432528054851,1.1533382387333669e-4,0,0.08094914925815022,0.4,0.0703030303030303,0.5013412698412696,1
KAZ,2004,0.06060606060606061,2.6485357972663173,4.41850462821447e-4,0.012162440733869306,0.09750852855201106,0.6666666666666667,0.0703030303030303,0.5013412698412696,1
KEN,2004,0.10101010101010101,6.87474542958695,1,0.0393733250876108,0.10529180111556755,0.3111111111111111,0.0703030303030303,0.5013412698412696,1
KHM,2004,0.06060606060606061,3.5764180449984453,0.3287862559144969,0.01422387136672851,0.10746311484489753,0.4666666666666667,0.0703030303030303,0.5013412698412696,1
KOR,2004,0.06060606060606061,2.0345595210319707,0.0089236064989341,0.113997113997114,0.12417293162126318,0.4,0.0703030303030303,0.5013412698412696,1
KWT,2004,0.050505050505050504,2.156395535499885,0.021882736398789338,0.0012368583797155227,0.10220309050198176,0.8,0.0703030303030303,0.5013412698412696,1
LAO,2004,0.09090909090909091,6.086324112329411,0.7375958130914874,0.12347969490826634,0.1047882057769313,0.25,0.0703030303030303,0.5013412698412696,1
LKA,2004,0.06060606060606061,3.8952075527957164,0.489696034738091,0.012574726860441147,0.1100429286315245,0.5333333333333333,0.0703030303030303,0.5013412698412696,1
LTU,2004,0.09090909090909091,4.103604816458713,7.094791139597797e-4,0.01030715316429602,0.09920113487562086,0.3611111111111111,0.0703030303030303,0.5013412698412696,1
LUX,2004,0.050505050505050504,1.314152878735456,1.1731015194725257e-5,0,0.06902120083026868,0.4,0.0703030303030303,0.5013412698412696,1
LVA,2004,0.10101010101010101,4.790187979125329,0.0011376664628033654,0.005359719645433931,0.10743417809911822,0.4444444444444444,0.0703030303030303,0.5013412698412696,1
MAR,2004,0.050505050505050504,3.438486531923609,0.6225034647133452,0.01896516182230468,0.11005455835045286,0.5,0.0703030303030303,0.5013412698412696,1
MEX,2004,0.1111111111111111,5.768811735078499,0.34504430145634374,0.11379097093382808,0.13766098018049516,0.34545454545454546,0.0703030303030303,0.5013412698412696,1
MLT,2004,0.08080808080808081,3.8888458717705627,7.384151758980166e-4,0.05194805194805195,0.10831623842226502,0.32142857142857145,0.0703030303030303,0.5013412698412696,1
MMR,2004,0.050505050505050504,3.7902783477876016,0.22235258496012725,0.047619047619047616,0.09140529721356712,0.7,0.0703030303030303,0.5013412698412696,1
MNG,2004,0.06060606060606061,2.511210016809651,5.22771242795439e-4,0,0.09870525241865973,0.6,0.0703030303030303,0.5013412698412696,1
MYS,2004,0.050505050505050504,1.9976625939504058,0.2231009568670864,0,0.10695924223241436,0.4,0.0703030303030303,0.5013412698412696,1
NAM,2004,0.050505050505050504,2.0289778740682447,0.060594996214266166,0.016903731189445475,0.11524592324956483,0.4,0.0703030303030303,0.5013412698412696,1
NGA,2004,0.06060606060606061,4.234367756769954,0.6319342034450447,0,0.09130331827414864,0.6,0.0703030303030303,0.5013412698412696,1
NLD,2004,0.10101010101010101,4.5500398847379255,5.208644959367572e-5,0.005359719645433931,0.0830109713749833,0.4222222222222222,0.0703030303030303,0.5013412698412696,1
NOR,2004,0.06060606060606061,2.219171589729141,1.6032345166452862e-5,2.0614306328592042e-4,0.07408366334287841,0.6666666666666667,0.0703030303030303,0.5013412698412696,1
NPL,2004,0.06060606060606061,4.435874783161189,0.6475920993166773,0.007627293341579056,0.09413116140947639,0.5333333333333333,0.0703030303030303,0.5013412698412696,1
NZL,2004,0.050505050505050504,2.551030948940536,8.079351418301303e-5,0,0.09111083104959272,0.8,0.0703030303030303,0.5013412698412696,1
OMN,2004,0.0707070707070707,2.7555641852717603,0.11712015592642212,0.02370645227788085,0.10958706850221217,0.38095238095238093,0.0703030303030303,0.5013412698412696,1
PAK,2004,0.050505050505050504,3.399247375242068,0.20045216761605286,0,0.08949778940879995,0.7,0.0703030303030303,0.5013412698412696,1
PAN,2004,0.08080808080808081,4.5259271659131075,0.24204138215458118,0.21232735518449805,0.1360919893433528,0.5714285714285714,0.0703030303030303,0.5013412698412696,1
PER,2004,0.0707070707070707,3.8203309694961294,0.3446213428977943,0.011750154607297465,0.12594209831396258,0.2857142857142857,0.0703030303030303,0.5013412698412696,1
PHL,2004,0.050505050505050504,2.613370410061577,0.3044870816552784,0,0.11113325311146083,0.6,0.0703030303030303,0.5013412698412696,1
POL,2004,0.08080808080808081,3.9293321898078606,0.001633535464756051,0.030303030303030304,0.1140215593326321,0.5,0.0703030303030303,0.5013412698412696,1
PRT,2004,0.06060606060606061,2.6952711509337814,0.0024822220320230817,0.0024737167594310453,0.10783787209479652,0.5333333333333333,0.0703030303030303,0.5013412698412696,1
PRY,2004,0.0707070707070707,4.414008572220903,0.4544247365518421,0.056070913213770356,0.12909594274425232,0.38095238095238093,0.0703030303030303,0.5013412698412696,1
QAT,2004,0.050505050505050504,1.6982818208289956,0.015521723982178397,0,0.0930313198192763,0.8,0.0703030303030303,0.5013412698412696,1
ROU,2004,0.08080808080808081,3.672211698476085,9.726487309740721e-4,0.027210884353741496,0.10559666137927301,0.4642857142857143,0.0703030303030303,0.5013412698412696,1
RWA,2004,0.0707070707070707,3.547929974573311,0.2606943514447199,0.017109874252731395,0.11127272350245457,0.3333333333333333,0.0703030303030303,0.5013412698412696,1
SAU,2004,0.0707070707070707,2.8200711025152523,0.08395608128345779,0.024943310657596373,0.1145548959306958,0.4761904761904762,0.0703030303030303,0.5013412698412696,1
SEN,2004,0.09090909090909091,6.478413644103483,0.9363847004804847,0.005772005772005772,0.0999113081529249,0.5277777777777778,0.0703030303030303,0.5013412698412696,1
SGP,2004,0.050505050505050504,1.7123788013365253,0.011911141448265695,0.024737167594310452,0.10665233442631926,0.4,0.0703030303030303,0.5013412698412696,1
SVK,2004,0.0707070707070707,3.3888123617572745,0.001267155276574099,0.02844774273345702,0.10981919629388655,0.5714285714285714,0.0703030303030303,0.5013412698412696,1
SVN,2004,0.08080808080808081,3.3710885727628446,5.546901164516114e-4,0.1989280560709132,0.10951745848524369,0.2857142857142857,0.0703030303030303,0.5013412698412696,1
SWE,2004,0.06060606060606061,2.7571079384573953,3.1708727436800536e-5,0,0.07956082294979902,0.7333333333333333,0.0703030303030303,0.5013412698412696,1
THA,2004,0.06060606060606061,3.4491698595011364,0.385463206046653,0.0026798598227169654,0.10012705497808018,0.4,0.0703030303030303,0.5013412698412696,1
TUN,2004,0.0707070707070707,4.477218711980422,0.4326185272337794,0.0032982890125747267,0.1282999439150146,0.4761904761904762,0.0703030303030303,0.5013412698412696,1
TUR,2004,0.12121212121212122,6.237488197241205,0.4380342805158806,0.08843537414965986,0.13192589546285863,0.30303030303030304,0.0703030303030303,0.5013412698412696,1
TZA,2004,0.06060606060606061,3.96527472675484,0.5165715362534831,0.006802721088435374,0.1017318462702166,0.6666666666666667,0.0703030303030303,0.5013412698412696,1
UGA,2004,0.08080808080808081,5.830532592494482,0.8600675288991939,0.006184291898577613,0.09812319954731802,0.6071428571428571,0.0703030303030303,0.5013412698412696,1
URY,2004,0.050505050505050504,1.957941429664355,0.010882384958766065,0.006596578025149453,0.11661950574537555,0.5,0.0703030303030303,0.5013412698412696,1
USA,2004,0.050505050505050504,1.4746070871352788,1.2316880568167481e-5,0,0.06724763072404481,0.6,0.0703030303030303,0.5013412698412696,1
UZB,2004,0.050505050505050504,1.8198250897794923,2.1037230498090052e-4,0,0.084296517777482885,0.8,0.0703030303030303,0.5013412698412696,1
VNM,2004,0.10101010101010101,6.894187905789925,0.9318877389544239,0.16161616161616163,0.11563660571598043,0.35555555555555557,0.0703030303030303,0.5013412698412696,1
ZAF,2004,0.0707070707070707,3.5544246084835742,0.1973703529637644,0.00968872397443826,0.12454887887127057,0.3333333333333333,0.0703030303030303,0.5013412698412696,1
ZMB,2004,0.08080808080808081,4.855402780090761,0.6332695522067046,0.04143475572047001,0.10793156330581585,0.4642857142857143,0.0703030303030303,0.5013412698412696,1
ZWE,2004,0.050505050505050504,2.126665024277997,0.07925380766490435,0.007833436404864976,0.11016315868710827,0.4,0.0703030303030303,0.5013412698412696,1
AGO,2005,0.06060606060606061,4.304090959186196,0.22272853064257817,0,0.08286643299707189,0.6666666666666667,0.07010101010101011,0.5399432234432231,1
ARE,2005,0.050505050505050504,2.002316748687694,0.0242970105664212,0,0.08027890591979123,0.9,0.07010101010101011,0.5399432234432231,1
ARG,2005,0.0707070707070707,3.1590233358153292,0.005962935602367896,0.11317254174397032,0.1183817176918332,0.5238095238095238,0.07010101010101011,0.5399432234432231,1
