iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
AGO,MEX,12686,13000.27,0,0,0,0,0,0,0,0,9.448254302193842,0,0
AGO,MLT,4980.603,5089.842,0,0,0,0,0,0,0,0,8.513306247025932,0,0
AGO,MMR,9555.35,9564.913,0,0,0,0,0,0,0,0,9.16485648604014,0,0
AGO,MNG,11014.06,10968.16,0,0,0,0,0,0,0,0,9.306927917419719,0,0
AGO,MYS,9900.254,10111.01,0,0,0,0,0,0,0,0,9.200315692359213,0,0
AGO,NAM,1582.875,1424.021,1,0,0,0,0,0,0,0,7.366998092770772,0,0
AGO,NGA,2017.813,2209.762,0,0,0,0,0,0,0,0,7.609769530613848,0,0
AGO,NLD,6856.132,6942.261,0,0,0,0,0,0,0,0,8.832898713301143,0,0
AGO,NOR,7655.045,7837.547,0,0,0,0,0,0,0,0,8.943120186585283,0,0
AGO,NPL,8745.843,8698.173,0,0,0,0,0,0,0,0,9.076333780748401,0,0
AGO,NZL,13836.31,14192.41,0,0,0,0,0,0,0,0,9.53505157512552,0,0
AGO,OMN,6115.173,5999.047,0,0,0,0,0,0,0,0,8.718528338808577,0,0
AGO,PAK,7889.046,7482.472,0,0,0,0,0,0,0,0,8.97323049398188,0,0
AGO,PAN,10468.29,10612.11,0,0,0,0,0,0,0,0,9.256105966743567,0,0
AGO,PER,9843.897,9846.797,0,0,0,0,0,0,0,0,9.194606948229875,0,0
AGO,PHL,12159.63,12190,0,0,0,0,0,0,0,0,9.40587672742565,0,0
AGO,POL,6838.712,6880.082,0,0,0,0,0,0,0,0,8.830354688791587,0,0
AGO,PRT,5779.503,5956.993,0,1,1,1,0,0,1,0,8.662072971810233,1,1
AGO,PRY,7684.19,7629.714,0,0,0,0,0,0,0,0,8.946920250287588,0,0
AGO,QAT,5620.981,5653.597,0,0,0,0,0,0,0,0,8.6342614828149,0,0
AGO,RWA,2014.346,1996.589,0,0,0,0,0,0,0,0,7.608049855941094,0,0
AGO,SAU,5207.322,4945.64,0,0,0,0,0,0,0,0,8.557820991081892,0,0
AGO,SEN,4277.941,4348.78,0,0,0,0,0,0,0,0,8.361227098055897,0,0
AGO,SGP,10104.83,10046.3,0,0,0,0,0,0,0,0,9.220768806341432,0,0
AGO,SVK,6355.751,6525.123,0,0,0,0,0,0,0,0,8.757115351307096,0,0
AGO,SVN,6111.597,6231.905,0,0,0,0,0,0,0,0,8.717943392808618,0,0
AGO,SWE,7599.202,7644.175,0,0,0,0,0,0,0,0,8.935798520761537,0,0
AGO,THA,9955.721,9936.604,0,0,0,0,0,0,0,0,9.205902639792292,0,0
AGO,TUN,5092.534,5108.719,0,0,0,0,0,0,0,0,8.5355308245637,0,0
AGO,TUR,5778.666,5816.24,0,0,0,0,0,0,0,0,8.661928139181212,0,0
AGO,TZA,2880.082,2596.974,0,0,0,0,0,0,0,0,7.965574044946888,0,0
AGO,UGA,2373.897,2384.524,0,0,0,0,0,0,0,0,7.772288187539251,0,0
AGO,URY,7581.052,7575.981,0,0,0,0,0,0,0,0,8.933407255286175,0,0
AGO,USA,10427.39,12153.61,0,0,0,0,0,0,0,0,9.25219127698645,0,0
AGO,UZB,7977.375,7929.39,0,0,0,0,0,0,0,0,8.98436468896038,0,0
AGO,VNM,10637.65,10600.14,0,0,0,0,0,0,0,0,9.27215487383979,0,0
AGO,ZAF,2844.23,2579.672,0,0,0,0,0,0,0,0,7.953047659664419,0,0
