iso3c,country,year,SH.XPD.CHEX.GD.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.MED.BEDS.ZS,SP.DYN.LE00.IN,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SE.ADT.LITR.ZS,IT.NET.USER.ZS,GB.XPD.RSDV.GD.ZS,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components,life_expectancy,health_spending,physicians,nurses,hospital_beds,internet,gdp_pc_ppp,population,l_life_expectancy,l_degree,l_strength,l_eigen,l_network_density,l_network_clustering
AGO,Angola,2004,3.46084046,0.063,0.994,0.75,51.123,8081.75707952672,18600423,NA,0.464814617985909,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.673825519962001,0.5020623371104155,0.012987012987012988,0.09478615618329946,0.2857142857142857,0.0703030303030303,0.5013412698412696,1,51.123,3.46084046,0.063,0.994,0.75,0.464814617985909,8081.75707952672,18600423,NA,NA,NA,NA,NA,NA
AGO,Angola,2005,2.54726577,0.07680000000000001,1.0592,0.75,52.13,8895.37660461036,19291161,NA,1.143399954,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.304090959186196,0.22272853064257817,0,0.08286643299707189,0.6666666666666667,0.07010101010101011,0.5399432234432231,1,52.13,2.54726577,0.07680000000000001,1.0592,0.75,1.143399954,8895.37660461036,19291161,51.123,0.0707070707070707,4.673825519962001,0.5020623371104155,0.0703030303030303,0.5013412698412696
AGO,Angola,2006,2.39833426,0.0906,1.1244,0.75,52.965,9588.82238860962,20015279,NA,1.5,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.050505050505050504,3.65968294083795,0.48018222006208966,0,0.08483922356692364,0.9,0.0698989898989899,0.5350836940836942,1,52.965,2.39833426,0.0906,1.1244,0.75,1.5,9588.82238860962,20015279,52.13,0.06060606060606061,4.304090959186196,0.22272853064257817,0.07010101010101011,0.5399432234432231
AGO,Angola,2007,2.65790844,0.1044,1.1896,0.75,54.2,10437.5899897179,20778561,NA,1.700000048,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.050505050505050504,3.5873696537991977,0.222178272222341,0,0.09233781247661102,0.8,0.0698989898989899,0.549696026196026,1,54.2,2.65790844,0.1044,1.1896,0.75,1.700000048,10437.5899897179,20778561,52.965,0.050505050505050504,3.65968294083795,0.48018222006208966,0.0698989898989899,0.5350836940836942
AGO,Angola,2008,2.97807598,0.11820000000000001,1.2548000000000001,0.75,55.281,11134.7047183666,21578655,NA,1.899999976,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.9235562979474405,0.08612899319264304,0.016697588126159554,0.09236243931542223,0.4285714285714286,0.07050505050505051,0.5349568209568212,1,55.281,2.97807598,0.11820000000000001,1.2548000000000001,0.75,1.899999976,11134.7047183666,21578655,54.2,0.050505050505050504,3.5873696537991977,0.222178272222341,0.0698989898989899,0.549696026196026
AGO,Angola,2009,3.30655909,0.132,1.32,0.75,56.225,10933.2712187989,22414773,NA,2.299999952,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.871238667210483,0.6470918737774071,0.021026592455163882,0.10158115757586454,0.5714285714285714,0.0707070707070707,0.5610075480075479,1,56.225,3.30655909,0.132,1.32,0.75,2.299999952,10933.2712187989,22414773,55.281,0.0707070707070707,4.9235562979474405,0.08612899319264304,0.07050505050505051,0.5349568209568212
AGO,Angola,2010,2.36373854,0.14200000000000002,1.217888888888889,0.75,57.242,11077.1301919405,23294825,NA,2.799999952,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.050505050505050504,3.5164967686143926,0.12250210561786583,0,0.09433068482599163,0.8,0.06888888888888889,0.5486450771450773,1,57.242,2.36373854,0.14200000000000002,1.217888888888889,0.75,2.799999952,11077.1301919405,23294825,56.225,0.0707070707070707,4.871238667210483,0.6470918737774071,0.0707070707070707,0.5610075480075479
AGO,Angola,2011,2.35561895,0.152,1.1157777777777778,0.75,58.093,11037.6388778577,24218352,NA,4.699999809,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.843152504670928,0.1777922945802593,8.245722531436817e-4,0.09355559371176254,0.6190476190476191,0.07010101010101011,0.5503687423687423,1,58.093,2.35561895,0.152,1.1157777777777778,0.75,4.699999809,11037.6388778577,24218352,57.242,0.050505050505050504,3.5164967686143926,0.12250210561786583,0.06888888888888889,0.5486450771450773
AGO,Angola,2012,2.13677311,0.162,1.0136666666666667,0.75,58.916,11519.9933863364,25177394,NA,7.699999809,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.758254752462428,0.08246983333418796,0.0012368583797155227,0.08437540505539486,0.6190476190476191,0.0703030303030303,0.5691846486846484,1,58.916,2.13677311,0.162,1.0136666666666667,0.75,7.699999809,11519.9933863364,25177394,58.093,0.0707070707070707,4.843152504670928,0.1777922945802593,0.07010101010101011,0.5503687423687423
AGO,Angola,2013,2.4297719,0.172,0.9115555555555557,0.75,59.705,11626.1877218484,26165620,NA,13,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.265991873718073,0.16092195221204714,0,0.08954715684527247,0.6666666666666667,0.0707070707070707,0.5518717393717393,1,59.705,2.4297719,0.172,0.9115555555555557,0.75,13,11626.1877218484,26165620,58.916,0.0707070707070707,4.758254752462428,0.08246983333418796,0.0703030303030303,0.5691846486846484
AGO,Angola,2014,2.15680027,0.182,0.8094444444444444,0.75,60.396,11721.664415634,27160769,66.0299987792969,21.3623407584103,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.050505050505050504,3.3601615453680704,0.2693173839369015,0,0.09456182564109329,0.9,0.0707070707070707,0.5188569763569765,1,60.396,2.15680027,0.182,0.8094444444444444,0.75,21.3623407584103,11721.664415634,27160769,59.705,0.06060606060606061,4.265991873718073,0.16092195221204714,0.0707070707070707,0.5518717393717393
AGO,Angola,2015,2.29966879,0.192,0.7073333333333334,0.75,61.042,11392.9059344932,28157798,66.2399978637695,22,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.0673329505542135,0.13254298687694904,0,0.09157212216142298,0.8,0.0694949494949495,0.5312016317016317,1,61.042,2.29966879,0.192,0.7073333333333334,0.75,22,11392.9059344932,28157798,60.396,0.050505050505050504,3.3601615453680704,0.2693173839369015,0.0707070707070707,0.5188569763569765
AGO,Angola,2016,2.39068723,0.20199999999999999,0.6052222222222222,0.75,61.619,10805.7122533667,29183070,NA,23.200000760000002,0.03229,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,4.1227493489402365,0.5457594967155018,0,0.09846812336559502,0.6,0.0707070707070707,0.5094756909756909,1,61.619,2.39068723,0.20199999999999999,0.6052222222222222,0.75,23.200000760000002,10805.7122533667,29183070,61.042,0.06060606060606061,4.0673329505542135,0.13254298687694904,0.0694949494949495,0.5312016317016317
AGO,Angola,2017,2.4379425,0.212,0.5031111111111112,0.75,62.122,10414.2358842987,30234839,NA,26,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,3.9590206381360105,0.4622805330651216,0.021438878581735724,0.09622053886595085,0.6666666666666667,0.07131313131313131,0.515988566988567,1,62.122,2.4379425,0.212,0.5031111111111112,0.75,26,10414.2358842987,30234839,61.619,0.06060606060606061,4.1227493489402365,0.5457594967155018,0.0707070707070707,0.5094756909756909
AGO,Angola,2018,2.29887486,0.211,0.401,0.75,62.622,10000.9443772509,31297155,NA,29,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.050505050505050504,3.335495410039326,0.5057250007289604,0,0.08877128838792164,0.7,0.0698989898989899,0.5123425463425463,1,62.622,2.29887486,0.211,0.401,0.75,29,10000.9443772509,31297155,62.122,0.06060606060606061,3.9590206381360105,0.4622805330651216,0.07131313131313131,0.515988566988567
AGO,Angola,2019,2.20394278,0.21925,0.769,0.75,63.051,9648.01103767178,32375632,NA,32.12939835,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,3.850565641490295,0.5468834481653446,0.0012368583797155227,0.08893628970380164,0.6,0.07010101010101011,0.5263535353535355,1,63.051,2.20394278,0.21925,0.769,0.75,32.12939835,9648.01103767178,32375632,62.622,0.050505050505050504,3.335495410039326,0.5057250007289604,0.0698989898989899,0.5123425463425463
AGO,Angola,2020,2.81688905,0.22749999999999998,1.137,0.75,63.116,8960.33797242389,33451132,NA,33.32089996,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.08080808080808081,4.858842823592474,0.14378695782626802,0.00474129045557617,0.08669437187940007,0.42857142857142855,0.0692929292929293,0.5278253968253971,1,63.116,2.81688905,0.22749999999999998,1.137,0.75,33.32089996,8960.33797242389,33451132,63.051,0.06060606060606061,3.850565641490295,0.5468834481653446,0.07010101010101011,0.5263535353535355
AGO,Angola,2021,2.73987103,0.23575,1.505,0.75,62.958,8862.28133314521,34532429,NA,34.55649948,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.279646140758367,0.19340987271646415,0.03525046382189239,0.08997118173659685,0.5238095238095238,0.0692929292929293,0.5189184704184704,1,62.958,2.73987103,0.23575,1.505,0.75,34.55649948,8862.28133314521,34532429,63.116,0.08080808080808081,4.858842823592474,0.14378695782626802,0.0692929292929293,0.5278253968253971
AGO,Angola,2022,2.60041046,0.244,1.873,0.75,64.246,8950.14259255142,35635029,NA,35.83800125,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.219100170287511,0.08480653538799533,8.245722531436817e-4,0.0827920347155831,0.6666666666666666,0.0696969696969697,0.5222475302475303,1,64.246,2.60041046,0.244,1.873,0.75,35.83800125,8950.14259255142,35635029,62.958,0.0707070707070707,4.279646140758367,0.19340987271646415,0.0692929292929293,0.5189184704184704
AGO,Angola,2023,2.54692864,0.244,1.873,0.75,64.617,8788.26106439635,36749906,68.1800003051758,37.88589859,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.0707070707070707,4.181260554946192,0.07620326762579498,0.004329004329004329,0.080748202372595,0.5714285714285714,0.0703030303030303,0.5162481407481407,1,64.617,2.54692864,0.244,1.873,0.75,37.88589859,8788.26106439635,36749906,64.246,0.0707070707070707,4.219100170287511,0.08480653538799533,0.0696969696969697,0.5222475302475303
AGO,Angola,2024,2.54692864,0.244,1.873,0.75,64.805,8901.88736611562,37885849,NA,40.70479965,NA,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA,0.06060606060606061,3.5262610240392562,0.03125336358551876,0.010925582354153782,0.08529484919000097,0.5333333333333333,0.0707070707070707,0.520127705627706,1,64.805,2.54692864,0.244,1.873,0.75,40.70479965,8901.88736611562,37885849,64.617,0.0707070707070707,4.181260554946192,0.07620326762579498,0.0703030303030303,0.5162481407481407
ARE,United Arab Emirates,2004,2.46225643,1.762,3.079,1.76,80.272,93166.1449767722,4428967,NA,30.1312961695367,NA,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA,0.050505050505050504,2.014327605734779,0.01796033333192031,0,0.098113619365081,0.8,0.0703030303030303,0.5013412698412696,1,80.272,2.46225643,1.762,3.079,1.76,30.1312961695367,93166.1449767722,4428967,NA,NA,NA,NA,NA,NA
ARE,United Arab Emirates,2005,2.3202107,1.494,2.951,1.31,80.779,92750.9148604289,4664790,90.0299987792969,40,NA,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA,0.050505050505050504,2.002316748687694,0.0242970105664212,0,0.08027890591979123,0.9,0.07010101010101011,0.5399432234432231,1,80.779,2.3202107,1.494,2.951,1.31,40,92750.9148604289,4664790,80.272,0.050505050505050504,2.014327605734779,0.01796033333192031,0.0703030303030303,0.5013412698412696
