iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,10.88
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,3.03
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.5414634146342
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,59789.4129069749
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,309378227
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,71.69
USA,United States,2010,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.71443
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.14000511
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.94
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.6414634146341
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,60245.4843994565
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,311839461
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,69.7294607619268
USA,United States,2011,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.73803
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.119754790000002
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.03
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.9
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.7414634146342
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,61134.530608776
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,314339099
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,74.7
USA,United States,2012,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.67272
