iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2010,GHED_EXTCHE_SHA2011,3.24644613,3.25,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2010,UHC_INDEX_REPORTED,38,38,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2010,UHC_SCI_CAPACITY,34,34,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2010,UHC_SCI_INFECT,25,25,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2010,UHC_SCI_NCD,58,58,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2010,UHC_SCI_RMNCH,44,44,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,GHED_EXTCHE_SHA2011,2.8612268,2.86,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,SDGIHR,41,41,Africa,AFR,Average of 13 International Health Regulations core capacity scores,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_IHR,41,41,Africa,AFR,Compliance with international health regulations,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_INDEX_REPORTED,39,39,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_SCI_CAPACITY,33,33,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_SCI_INFECT,26,26,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_SCI_NCD,58,58,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2011,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2012,GHED_EXTCHE_SHA2011,2.17543125,2.18,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2012,UHC_INDEX_REPORTED,37,37,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2012,UHC_SCI_CAPACITY,32,32,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2012,UHC_SCI_INFECT,23,23,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
