iso3c,year,un_degree,un_strength,un_eigen,un_betweenness,un_closeness,un_local_clustering,un_network_density,un_network_clustering,un_network_components,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
IND,2004,0.10101010101010101,8.640641886055342,0,0,0.43348395069534384,0.5111111111111111,0.15393939393939393,0.5900062761855849,2,India,Global South,South Asia,yes,NA,NA,NA
IRL,2004,0.13131313131313133,12.256452719360304,0.4686392350183089,0.0012368583797155227,0.5333853930427043,0.7692307692307692,0.15393939393939393,0.5900062761855849,2,Ireland,Global North,Europe,yes,NA,NA,NA
IRN,2004,0.12121212121212122,11.492039035733427,0,2.0614306328592042e-4,0.41910903938740957,0.7272727272727273,0.15393939393939393,0.5900062761855849,2,"Iran, Islamic Rep.",Global South,Middle East & North Africa,yes,NA,NA,NA
IRQ,2004,0.1919191919191919,18.482993197278915,0,0.03339517625231911,0.5513557206836507,0.43859649122807015,0.15393939393939393,0.5900062761855849,2,Iraq,Global South,Middle East & North Africa,yes,NA,NA,NA
ISL,2004,0.13131313131313133,12.371012145934973,0.5034095880154814,2.0614306328592042e-4,0.5498891542269262,0.6794871794871794,0.15393939393939393,0.5900062761855849,2,Iceland,Global North,Europe,yes,NA,NA,NA
ISR,2004,0.10101010101010101,4.407450986109896,0.10621392132833034,0,0.2965240902700199,0.4666666666666667,0.15393939393939393,0.5900062761855849,2,Israel,Global North,Middle East,yes,NA,NA,NA
ITA,2004,0.1111111111111111,10.832550860719873,0.41002400428211994,0,0.5283001115394397,0.8545454545454545,0.15393939393939393,0.5900062761855849,2,Italy,Global North,Europe,yes,NA,NA,NA
JOR,2004,0.18181818181818182,16.9974248149507,0,0.00917336631622346,0.5628306611482925,0.4313725490196078,0.15393939393939393,0.5900062761855849,2,Jordan,Global South,Middle East & North Africa,yes,NA,NA,NA
JPN,2004,0.10101010101010101,8.928305066318764,0.32180353271618156,0,0.5033866317954596,0.6666666666666666,0.15393939393939393,0.5900062761855849,2,Japan,Global North,East Asia & Pacific,yes,NA,NA,NA
KAZ,2004,0.1111111111111111,9.59688639309719,0,0.0030921459492888066,0.4655745288240709,0.6,0.15393939393939393,0.5900062761855849,2,Kazakhstan,Global South,Europe & Central Asia,yes,NA,NA,NA
KEN,2004,0.12121212121212122,10.704989321775082,0,0,0.4379889215198361,0.6666666666666666,0.15393939393939393,0.5900062761855849,2,Kenya,Global South,Sub-Saharan Africa,yes,NA,NA,NA
KHM,2004,0.16161616161616163,15.614268719979664,0,8.245722531436817e-4,0.5123495046113262,0.6333333333333333,0.15393939393939393,0.5900062761855849,2,Cambodia,Global South,East Asia & Pacific,yes,NA,NA,NA
KOR,2004,0.10101010101010101,8.98734071093226,0.350894477116371,0,0.4647956553642271,0.8,0.15393939393939393,0.5900062761855849,2,"Korea, Rep.",Global North,East Asia & Pacific,yes,NA,NA,NA
KWT,2004,0.2727272727272727,25.755625779297144,0,0.03315467601181887,0.5689185312271264,0.4301994301994302,0.15393939393939393,0.5900062761855849,2,Kuwait,Global South,Middle East & North Africa,yes,NA,NA,NA
LAO,2004,0.13131313131313133,12.556707726876827,0,0.016079158936301793,0.520896602687301,0.48717948717948717,0.15393939393939393,0.5900062761855849,2,Lao PDR,Global South,East Asia & Pacific,yes,NA,NA,NA
LKA,2004,0.24242424242424243,22.74728184202002,0,0.016079158936301793,0.5984579236859917,0.3768115942028985,0.15393939393939393,0.5900062761855849,2,Sri Lanka,Global South,South Asia,yes,NA,NA,NA
LTU,2004,0.2828282828282828,26.657584471823327,0.9103024543730209,0.011513090084518654,0.7095246292024097,0.43386243386243384,0.15393939393939393,0.5900062761855849,2,Lithuania,Global North,Europe,yes,NA,NA,NA
LUX,2004,0.16161616161616163,15.532560580876563,0.6231755806526195,4.1228612657184083e-4,0.580254259588609,0.7,0.15393939393939393,0.5900062761855849,2,Luxembourg,Global North,Europe,yes,NA,NA,NA
LVA,2004,0.1414141414141414,12.162111801242236,0.43936141026029085,0.0018552875695732839,0.5541540224160056,0.5274725274725275,0.15393939393939393,0.5900062761855849,2,Latvia,Global North,Europe,yes,NA,NA,NA
MAR,2004,0.1919191919191919,18.433285947569473,0,0,0.5273071236741852,0.5614035087719298,0.15393939393939393,0.5900062761855849,2,Morocco,Global South,Middle East & North Africa,yes,NA,NA,NA
MEX,2004,0.10101010101010101,8.995837636617448,0,8.245722531436817e-4,0.46857919135303955,0.5111111111111111,0.15393939393939393,0.5900062761855849,2,Mexico,Global South,Latin America & Caribbean,yes,NA,NA,NA
MLT,2004,0.1111111111111111,10.166666666666666,0.3706573601512917,0,0.5096649443440753,0.6545454545454545,0.15393939393939393,0.5900062761855849,2,Malta,Global North,Europe,yes,NA,NA,NA
MMR,2004,0.1111111111111111,10.620404052619211,0,0.0018552875695732839,0.43915859410932834,0.7454545454545454,0.15393939393939393,0.5900062761855849,2,Myanmar,Global South,East Asia & Pacific,yes,NA,NA,NA
MNG,2004,0.2727272727272727,24.699218563441562,0,0.04823747680890538,0.581824785230637,0.3333333333333333,0.15393939393939393,0.5900062761855849,2,Mongolia,Global South,East Asia & Pacific,yes,NA,NA,NA
MYS,2004,0.13131313131313133,12.55020640000807,0,0,0.44440783978609144,0.7307692307692308,0.15393939393939393,0.5900062761855849,2,Malaysia,Global South,East Asia & Pacific,yes,NA,NA,NA
NAM,2004,0.2222222222222222,21.042809937894777,0,0.0052051123479694905,0.5389884469301257,0.47619047619047616,0.15393939393939393,0.5900062761855849,2,Namibia,Global South,Sub-Saharan Africa,yes,NA,NA,NA
NGA,2004,0.24242424242424243,22.632215300325054,0,0.03829107400535972,0.5991118838404331,0.3550724637681159,0.15393939393939393,0.5900062761855849,2,Nigeria,Global South,Sub-Saharan Africa,yes,NA,NA,NA
NLD,2004,0.26262626262626265,24.917858444426066,0.8772852594951023,0.008833230261801689,0.6817845590113588,0.4646153846153846,0.15393939393939393,0.5900062761855849,2,Netherlands,Global North,Europe,yes,NA,NA,NA
NOR,2004,0.1717171717171717,16.522652582159623,0.664427176553296,0.0016491445062873633,0.5853664388477168,0.6691176470588235,0.15393939393939393,0.5900062761855849,2,Norway,Global North,Europe,yes,NA,NA,NA
NPL,2004,0.16161616161616163,14.993242709847603,0,0.00484436198721913,0.5529248255216976,0.44166666666666665,0.15393939393939393,0.5900062761855849,2,Nepal,Global South,South Asia,yes,NA,NA,NA
NZL,2004,0.10101010101010101,8.983447488584476,0.3525975381072801,0,0.498752699298671,0.7777777777777778,0.15393939393939393,0.5900062761855849,2,New Zealand,Global North,East Asia & Pacific,yes,NA,NA,NA
OMN,2004,0.23232323232323232,22.2936008327708,0,0.006046863189720333,0.5473457210374563,0.4861660079051383,0.15393939393939393,0.5900062761855849,2,Oman,Global South,Middle East & North Africa,yes,NA,NA,NA
PAK,2004,0.1111111111111111,10.29945226917058,0,4.1228612657184083e-4,0.39336924537163687,0.6363636363636364,0.15393939393939393,0.5900062761855849,2,Pakistan,Global South,South Asia,yes,NA,NA,NA
PAN,2004,0.1717171717171717,15.645370733793342,0,0.0026798598227169654,0.4990865460889376,0.47058823529411764,0.15393939393939393,0.5900062761855849,2,Panama,Global South,Latin America & Caribbean,yes,NA,NA,NA
PER,2004,0.10101010101010101,8.958353564682575,0,0,0.41938912788888627,0.6888888888888889,0.15393939393939393,0.5900062761855849,2,Peru,Global South,Latin America & Caribbean,yes,NA,NA,NA
PHL,2004,0.20202020202020202,18.635207850637464,0,0.0013399299113584827,0.5046334528935967,0.4947368421052632,0.15393939393939393,0.5900062761855849,2,Philippines,Global South,East Asia & Pacific,yes,NA,NA,NA
POL,2004,0.1414141414141414,12.40065231572081,0.48934428287445925,7.215007215007215e-4,0.5576811740025968,0.6703296703296703,0.15393939393939393,0.5900062761855849,2,Poland,Global North,Europe,yes,NA,NA,NA
PRT,2004,0.1414141414141414,13.681267666884104,0.4820986430278933,0.0012265512265512263,0.551507085743045,0.6593406593406593,0.15393939393939393,0.5900062761855849,2,Portugal,Global North,Europe,yes,NA,NA,NA
PRY,2004,0.1111111111111111,9.776633793014456,0,0,0.45902084321477954,0.6727272727272727,0.15393939393939393,0.5900062761855849,2,Paraguay,Global South,Latin America & Caribbean,yes,NA,NA,NA
QAT,2004,0.1919191919191919,18.450925601920705,0,0.003195217480931767,0.5143301076657707,0.5438596491228069,0.15393939393939393,0.5900062761855849,2,Qatar,Global South,Middle East & North Africa,yes,NA,NA,NA
ROU,2004,0.1717171717171717,16.1650008748141,0.6035427089150582,6.184291898577613e-4,0.5860397786072965,0.625,0.15393939393939393,0.5900062761855849,2,Romania,Global North,Europe,yes,NA,NA,NA
RWA,2004,0.1717171717171717,16.163455354389676,0,0.0055658627087198514,0.45117848204386013,0.5147058823529411,0.15393939393939393,0.5900062761855849,2,Rwanda,Global South,Sub-Saharan Africa,yes,NA,NA,NA
SAU,2004,0.18181818181818182,17.36897255835915,0,0.006081220366934653,0.4379284459738805,0.6013071895424836,0.15393939393939393,0.5900062761855849,2,Saudi Arabia,Global South,Middle East & North Africa,yes,NA,NA,NA
SEN,2004,0.15151515151515152,14.582830180113719,0,0.007215007215007215,0.5471961882731808,0.4761904761904762,0.15393939393939393,0.5900062761855849,2,Senegal,Global South,Sub-Saharan Africa,yes,NA,NA,NA
SGP,2004,0.10101010101010101,9.209099367446509,0,0.0012368583797155227,0.5015862540490322,0.4666666666666667,0.15393939393939393,0.5900062761855849,2,Singapore,Global North,East Asia & Pacific,yes,NA,NA,NA
SVK,2004,0.13131313131313133,12.708664927158077,0.45389645900204345,0.0010204081632653062,0.543819825553896,0.6923076923076924,0.15393939393939393,0.5900062761855849,2,Slovak Republic,Global North,Europe,yes,NA,NA,NA
SVN,2004,0.24242424242424243,23.424527913294074,0.8543033238532451,0.00795712224283653,0.6584255440120353,0.5108695652173914,0.15393939393939393,0.5900062761855849,2,Slovenia,Global North,Europe,yes,NA,NA,NA
SWE,2004,0.13131313131313133,12.075077175381054,0.4435123545321457,4.1228612657184083e-4,0.5387350952183778,0.7051282051282052,0.15393939393939393,0.5900062761855849,2,Sweden,Global North,Europe,yes,NA,NA,NA
THA,2004,0.18181818181818182,16.11958428879301,0,0.0016491445062873633,0.48959497072475083,0.49673202614379086,0.15393939393939393,0.5900062761855849,2,Thailand,Global South,East Asia & Pacific,yes,NA,NA,NA
TUN,2004,0.20202020202020202,19.490599491389172,0,0.003573146430289288,0.5061224550108964,0.5631578947368421,0.15393939393939393,0.5900062761855849,2,Tunisia,Global South,Middle East & North Africa,yes,NA,NA,NA
TUR,2004,0.10101010101010101,8.980850319307146,0.41348110285726075,0,0.4954431273652697,0.8444444444444444,0.15393939393939393,0.5900062761855849,2,Turkiye,Global South,Europe & Central Asia,yes,NA,NA,NA
TZA,2004,0.16161616161616163,15.364266713597418,0,0.017934446505875078,0.5387155211538182,0.4666666666666667,0.15393939393939393,0.5900062761855849,2,Tanzania,Global South,Sub-Saharan Africa,yes,NA,NA,NA
UGA,2004,0.1111111111111111,9.549625982774678,0,0.0020614306328592042,0.47136188588088873,0.5818181818181818,0.15393939393939393,0.5900062761855849,2,Uganda,Global South,Sub-Saharan Africa,yes,NA,NA,NA
URY,2004,0.1111111111111111,9.62701793348951,0,0,0.44017285644762244,0.6181818181818182,0.15393939393939393,0.5900062761855849,2,Uruguay,Global South,Latin America & Caribbean,yes,NA,NA,NA
USA,2004,0.10101010101010101,4.213819293232761,0.10172491385739493,0,0.28737935854073327,0.5555555555555556,0.15393939393939393,0.5900062761855849,2,United States,Global North,North America,yes,NA,NA,NA
UZB,2004,0.10101010101010101,7.257008988860168,0,8.245722531436817e-4,0.44021012748878163,0.4,0.15393939393939393,0.5900062761855849,2,Uzbekistan,Global South,Europe & Central Asia,yes,NA,NA,NA
VNM,2004,0.12121212121212122,11.461934977518823,0,0.0010307153164296021,0.4474704519029132,0.6666666666666666,0.15393939393939393,0.5900062761855849,2,Viet Nam,Global South,East Asia & Pacific,yes,NA,NA,NA
ZAF,2004,0.1111111111111111,10.450132740889783,0,0,0.46752254307157204,0.5818181818181818,0.15393939393939393,0.5900062761855849,2,South Africa,Global South,Sub-Saharan Africa,yes,NA,NA,NA
ZMB,2004,0.18181818181818182,17.46879464876956,0,7.730364873222016e-4,0.5213251112221804,0.5751633986928105,0.15393939393939393,0.5900062761855849,2,Zambia,Global South,Sub-Saharan Africa,yes,NA,NA,NA
ZWE,2004,0.12121212121212122,11.703668582057329,0,8.245722531436817e-4,0.47529982387644093,0.6515151515151515,0.15393939393939393,0.5900062761855849,2,Zimbabwe,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2005,0.12121212121212122,11.202482482021022,0,0.0026798598227169654,0.5259224019403443,0.5151515151515151,0.15313131313131315,0.6098658794170678,2,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
ARE,2005,0.13131313131313133,12.496704412673301,0,8.245722531436817e-4,0.5119683493969375,0.6025641025641025,0.15313131313131315,0.6098658794170678,2,United Arab Emirates,Global South,Middle East & North Africa,yes,NA,NA,NA
ARG,2005,0.10101010101010101,8.638932019448129,0,0,0.42647209650802675,0.6888888888888889,0.15313131313131315,0.6098658794170678,2,Argentina,Global South,Latin America & Caribbean,yes,NA,NA,NA
AUS,2005,0.12121212121212122,8.258927182095734,0.2357953033756204,0.0024737167594310453,0.45427244603654054,0.4696969696969697,0.15313131313131315,0.6098658794170678,2,Australia,Global North,East Asia & Pacific,yes,NA,NA,NA
AUT,2005,0.26262626262626265,24.500870870870866,0.7901085732109037,0.004123106674127083,0.6787667416613312,0.45230769230769236,0.15313131313131315,0.6098658794170678,2,Austria,Global North,Europe,yes,NA,NA,NA
AZE,2005,0.1111111111111111,9.850015822749398,0,0.0018552875695732839,0.4878961669696506,0.6727272727272727,0.15313131313131315,0.6098658794170678,2,Azerbaijan,Global South,Europe & Central Asia,yes,NA,NA,NA
BEL,2005,0.16161616161616163,14.78821106821107,0.5333705048475502,0.0021541950113378684,0.5766858397684475,0.6166666666666667,0.15313131313131315,0.6098658794170678,2,Belgium,Global North,Europe,yes,NA,NA,NA
BGD,2005,0.21212121212121213,19.775025958419146,0,0.0010307153164296021,0.5588581746184083,0.5142857142857143,0.15313131313131315,0.6098658794170678,2,Bangladesh,Global South,South Asia,yes,NA,NA,NA
BGR,2005,0.15151515151515152,14.328348348348348,0.4964460359318456,4.81000481000481e-4,0.5615424003043799,0.619047619047619,0.15313131313131315,0.6098658794170678,2,Bulgaria,Global North,Europe,yes,NA,NA,NA
BOL,2005,0.1414141414141414,12.835214067511064,0,6.184291898577613e-4,0.5242983337269003,0.6373626373626374,0.15313131313131315,0.6098658794170678,2,Bolivia,Global South,Latin America & Caribbean,yes,NA,NA,NA
BRA,2005,0.13131313131313133,11.744570234319548,0,2.0614306328592042e-4,0.512478188573546,0.5,0.15313131313131315,0.6098658794170678,2,Brazil,Global South,Latin America & Caribbean,yes,NA,NA,NA
BWA,2005,0.1111111111111111,10.374381902129716,0,6.184291898577613e-4,0.5221383497204822,0.4909090909090909,0.15313131313131315,0.6098658794170678,2,Botswana,Global South,Sub-Saharan Africa,yes,NA,NA,NA
CAN,2005,0.13131313131313133,10.261209781209782,0.36918995814005184,0.0018552875695732839,0.5186936069085893,0.5641025641025641,0.15313131313131315,0.6098658794170678,2,Canada,Global North,North America,yes,NA,NA,NA
CHE,2005,0.1111111111111111,10.756571640133286,0.4653370783827809,0,0.5337703375611391,0.8727272727272727,0.15313131313131315,0.6098658794170678,2,Switzerland,Global North,Europe,yes,NA,NA,NA
CHL,2005,0.1414141414141414,12.701522885689377,0,0.0016491445062873633,0.512885677597689,0.6373626373626374,0.15313131313131315,0.6098658794170678,2,Chile,Global North,Latin America & Caribbean,yes,NA,NA,NA
CHN,2005,0.1111111111111111,10.194070168602293,0,0,0.4952882982307981,0.8181818181818181,0.15313131313131315,0.6098658794170678,2,China,Global South,East Asia & Pacific,yes,NA,NA,NA
CMR,2005,0.10101010101010101,8.026850045768658,0,4.1228612657184083e-4,0.4165513396807842,0.5333333333333333,0.15313131313131315,0.6098658794170678,2,Cameroon,Global South,Sub-Saharan Africa,yes,NA,NA,NA
COL,2005,0.12121212121212122,11.237194687474616,0,0,0.504942268618376,0.5606060606060607,0.15313131313131315,0.6098658794170678,2,Colombia,Global South,Latin America & Caribbean,yes,NA,NA,NA
CRI,2005,0.10101010101010101,8.947209530230108,0,0,0.48074506804553935,0.9333333333333333,0.15313131313131315,0.6098658794170678,2,Costa Rica,Global South,Latin America & Caribbean,yes,NA,NA,NA
CYP,2005,0.1414141414141414,12.755210210210212,0.3767654765721372,0.0022160379303236446,0.5467400822466688,0.47252747252747257,0.15313131313131315,0.6098658794170678,2,Cyprus,Global North,Europe,yes,NA,NA,NA
CZE,2005,0.35353535353535354,32.72788073788074,1,0.012897929734664429,0.8088183867648943,0.3915966386554622,0.15313131313131315,0.6098658794170678,2,Czechia,Global North,Europe,yes,NA,NA,NA
DEU,2005,0.12121212121212122,11.412612612612612,0.4498378653079095,2.0614306328592042e-4,0.5384870019238188,0.7424242424242423,0.15313131313131315,0.6098658794170678,2,Germany,Global North,Europe,yes,NA,NA,NA
DNK,2005,0.1919191919191919,17.40006006006006,0.556018459160215,0.00503332646189789,0.6027116955225539,0.5321637426900585,0.15313131313131315,0.6098658794170678,2,Denmark,Global North,Europe,yes,NA,NA,NA
DOM,2005,0.12121212121212122,10.226392450306907,0,4.1228612657184083e-4,0.409289249714032,0.712121212121212,0.15313131313131315,0.6098658794170678,2,Dominican Republic,Global South,Latin America & Caribbean,yes,NA,NA,NA
DZA,2005,0.1717171717171717,15.931728053600505,0,0.0020614306328592042,0.5369111162738276,0.4485294117647059,0.15313131313131315,0.6098658794170678,2,Algeria,Global South,Middle East & North Africa,yes,NA,NA,NA
ECU,2005,0.15151515151515152,13.75024522219178,0,2.0614306328592042e-4,0.5338815109065151,0.619047619047619,0.15313131313131315,0.6098658794170678,2,Ecuador,Global South,Latin America & Caribbean,yes,NA,NA,NA
EGY,2005,0.1111111111111111,10.378277202780371,0,0,0.4956314117619818,0.7636363636363637,0.15313131313131315,0.6098658794170678,2,"Egypt, Arab Rep.",Global South,Middle East & North Africa,yes,NA,NA,NA
ESP,2005,0.1111111111111111,10.332972972972973,0.36326847352577907,0,0.5239592752491941,0.5636363636363637,0.15313131313131315,0.6098658794170678,2,Spain,Global North,Europe,yes,NA,NA,NA
EST,2005,0.10101010101010101,9.72972972972973,0.42553955400322496,0,0.5252944105637053,0.8444444444444444,0.15313131313131315,0.6098658794170678,2,Estonia,Global North,Europe,yes,NA,NA,NA
ETH,2005,0.12121212121212122,10.82844998227831,0,1.0307153164296021e-4,0.5083732390590568,0.6363636363636364,0.15313131313131315,0.6098658794170678,2,Ethiopia,Global South,Sub-Saharan Africa,yes,NA,NA,NA
FIN,2005,0.1919191919191919,17.715495495495492,0.5892548165890223,0.007409370674676797,0.6058264578407371,0.5555555555555556,0.15313131313131315,0.6098658794170678,2,Finland,Global North,Europe,yes,NA,NA,NA
FRA,2005,0.12121212121212122,9.45917631917632,0.3392460713527123,0.0012368583797155227,0.5019444589498273,0.6060606060606061,0.15313131313131315,0.6098658794170678,2,France,Global North,Europe,yes,NA,NA,NA
