iso3c,year,iv_distance_weighted_peer_eigen,iv_language_peer_eigen,iv_historical_peer_eigen,iv_contiguous_peer_eigen
AGO,2004,0.22714673211742412,0.060614873018768625,0.00248222203202308,0.34693227421048534
AGO,2005,0.19892404777107778,0.10310885502709226,0.00149680747571226,0.16886426050464204
AGO,2006,0.2738093500919365,0.12475486169564731,0.0088511050156874,0.3142684412000889
AGO,2007,0.17833531415182133,0.052353719293108045,0.00488518424578931,0.18683205781372436
AGO,2008,0.15250599361125247,0.051486086484456656,0.00106712154435031,0.10109223471890483
AGO,2009,0.13418296976975033,0.011181275963022728,7.966127690910586e-4,0.18500928512847079
AGO,2010,0.16610754672429867,0.08890544563168076,0.00258606903143382,0.11836067466978673
AGO,2011,0.217043648781898,0.11688751908048461,0.00393174532350666,0.22306707366215722
AGO,2012,0.15684704079446363,0.10049263414435701,0.00327032318593379,0.11151270240666879
AGO,2013,0.15424302522912584,0.015113231088139374,7.654491606816296e-4,0.2974135883027172
AGO,2014,0.1559089110803237,0.007826790785863149,6.282060741341199e-4,0.28144097706950644
AGO,2015,0.18771656829396288,0.039014584480577846,0.00716008864686488,0.21142963537609546
AGO,2016,0.16701936277010582,0.005285216176287336,0.0011321526492190201,0.3318563650669669
AGO,2017,0.1244370991593845,6.059653941509263e-4,1.2266998065075263e-4,0.20827383737115512
AGO,2018,0.2032973393291146,0.006044801178406009,0.00356306088263673,0.4072912252366641
AGO,2019,0.24688047977584884,0.046517821963774346,0.03396370949877146,0.1720732298421582
AGO,2020,0.19804022720391526,0.0661793492018248,0.04254487890615806,0.09259347628844458
AGO,2021,0.21732380676700563,0.11538246871114757,0.0296160581931804,0.1529342711633462
AGO,2022,0.1606155174629606,0.1250688150944968,0.02660477565577707,0.14211677173067427
AGO,2023,0.14547016039216548,0.08892151751322092,0.00722606032567323,0.09373630274482989
AGO,2024,0.1286505269551165,0.09229323057696692,0.00382307164206336,0.07906430713860556
ARE,2004,0.22748221805319652,0.2925530520362078,0.29447842091085275,0.07219932039735277
ARE,2005,0.1972558568426415,0.2783265635057291,0.19756294396417703,0.09247129061274798
ARE,2006,0.27391928887289185,0.3761276472422053,0.31726216590961354,0.102532716084188
ARE,2007,0.17790618622612092,0.3294060058480671,0.175804529765632,0.06507069922002451
ARE,2008,0.15019310687967752,0.2953617611165231,0.1017004044823856,0.04883869184438797
ARE,2009,0.13756115291300053,0.10047679948576511,0.23984984271297677,0.00852161876712693
ARE,2010,0.16324182516202299,0.25997805717078915,0.14102535256150206,0.06665671558149207
ARE,2011,0.21172606740316363,0.2852059192199416,0.22425774530873196,0.08165735936972383
ARE,2012,0.15346501359323766,0.26502348026100175,0.11906677503118938,0.05433221933262084
ARE,2013,0.14948968177613806,0.10088160761908306,0.26107262724353614,0.010562779203477073
ARE,2014,0.1534973150026081,0.10773129847506888,0.2850446337933814,0.010961064094245652
ARE,2015,0.18347355352100483,0.33452237579593896,0.15216615617121065,0.05517853690411629
ARE,2016,0.16780113949595526,0.11144498341505768,0.3561426740091906,0.006852008748786273
ARE,2017,0.12553335160891962,0.08089303920322077,0.26387460687980885,0.004664141271584352
ARE,2018,0.20261384495401216,0.21510733346968963,0.3746511080900463,0.027136881444431604
ARE,2019,0.250609942511681,0.1811891690283388,0.31634017135379877,0.06636573411682464
ARE,2020,0.20061678742622405,0.21647569001937222,0.1221397533427105,0.09237067377291577
ARE,2021,0.21792361497082213,0.4290647317592936,0.1784819001547051,0.1408798977537714
ARE,2022,0.15952586614461248,0.31466696870922617,0.11211497273254689,0.0669627140880128
